1    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
24   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /Users/jmignault/Documents/workspace/search_app/jetty/contexts at interval 0
29   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /Users/jmignault/Documents/workspace/search_app/jetty/contexts/solr.xml
910  [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
954  [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init()
967  [main] INFO  org.apache.solr.core.SolrResourceLoader  – JNDI not configured for solr (NoInitialContextEx)
967  [main] INFO  org.apache.solr.core.SolrResourceLoader  – using system property solr.solr.home: /Users/jmignault/Documents/workspace/search_app/jetty/solr
968  [main] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/Users/jmignault/Documents/workspace/search_app/jetty/solr/'
969  [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/jmignault/Documents/workspace/search_app/jetty/solr/lib/contrib/' to classloader
1971 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init() done
1991 [main] INFO  org.eclipse.jetty.server.AbstractConnector  – Started SocketConnector@0.0.0.0:8983
2542 [Thread-0] INFO  org.eclipse.jetty.server.Server  – Graceful shutdown SocketConnector@0.0.0.0:8983
2542 [Thread-0] INFO  org.eclipse.jetty.server.Server  – Graceful shutdown o.e.j.w.WebAppContext{/solr,file:/Users/jmignault/Documents/workspace/search_app/jetty/solr-webapp/webapp/},/Users/jmignault/Documents/workspace/search_app/jetty/webapps/solr.war
3544 [Thread-0] INFO  org.apache.solr.core.CoreContainer  – Shutting down CoreContainer instance=586127428
3545 [Thread-0] INFO  org.apache.solr.core.SolrCore  – [blacklight-core]  CLOSING SolrCore org.apache.solr.core.SolrCore@63587d2c
3545 [Thread-0] INFO  org.apache.solr.update.UpdateHandler  – closing DirectUpdateHandler2{commits=0,autocommits=0,soft autocommits=0,optimizes=0,rollbacks=0,expungeDeletes=0,docsPending=0,adds=0,deletesById=0,deletesByQuery=0,errors=0,cumulative_adds=0,cumulative_deletesById=0,cumulative_deletesByQuery=0,cumulative_errors=0}
3545 [Thread-0] INFO  org.apache.solr.update.SolrCoreState  – Closing SolrCoreState
3546 [Thread-0] INFO  org.apache.solr.update.DefaultSolrCoreState  – SolrCoreState ref count has reached 0 - closing IndexWriter
3546 [Thread-0] INFO  org.apache.solr.update.DefaultSolrCoreState  – closing IndexWriter with IndexWriterCloser
3550 [Thread-0] INFO  org.apache.solr.core.SolrCore  – [blacklight-core] Closing main searcher on request.
3551 [Thread-0] INFO  org.apache.solr.core.CachingDirectoryFactory  – Closing StandardDirectoryFactory - 2 directories currently being tracked
3551 [Thread-0] INFO  org.apache.solr.core.CachingDirectoryFactory  – looking to close /Users/jmignault/Documents/workspace/search_app/jetty/solr/blacklight-core/data/index [CachedDir<<refCount=0;path=/Users/jmignault/Documents/workspace/search_app/jetty/solr/blacklight-core/data/index;done=false>>]
3551 [Thread-0] INFO  org.apache.solr.core.CachingDirectoryFactory  – Closing directory: /Users/jmignault/Documents/workspace/search_app/jetty/solr/blacklight-core/data/index
3551 [Thread-0] INFO  org.apache.solr.core.CachingDirectoryFactory  – looking to close /Users/jmignault/Documents/workspace/search_app/jetty/solr/blacklight-core/data [CachedDir<<refCount=0;path=/Users/jmignault/Documents/workspace/search_app/jetty/solr/blacklight-core/data;done=false>>]
3552 [Thread-0] INFO  org.apache.solr.core.CachingDirectoryFactory  – Closing directory: /Users/jmignault/Documents/workspace/search_app/jetty/solr/blacklight-core/data
3553 [Thread-0] INFO  org.eclipse.jetty.server.handler.ContextHandler  – stopped o.e.j.w.WebAppContext{/solr,file:/Users/jmignault/Documents/workspace/search_app/jetty/solr-webapp/webapp/},/Users/jmignault/Documents/workspace/search_app/jetty/webapps/solr.war
